Fortaleza;Athletico-PR;0;2;2020-08-08
Coritiba;Internacional;0;1;2020-08-08
Sport;Ceara;3;2;2020-08-08
Flamengo;Atletico-MG;0;1;2020-08-09
Santos;Bragantino;1;1;2020-08-09
Gremio;Fluminense;1;0;2020-08-09
Botafogo-RJ;Bahia;1;2;2020-09-30
Corinthians;Atletico-GO;0;0;2020-09-30
Goias;Sao Paulo;0;3;2020-12-03
Palmeiras;Vasco;1;1;2021-01-26
Bragantino;Botafogo-RJ;1;1;2020-08-12
Atletico-MG;Corinthians;3;2;2020-08-12
Athletico-PR;Goias;2;1;2020-08-12
Bahia;Coritiba;1;0;2020-08-12
Atletico-GO;Flamengo;3;0;2020-08-12
Fluminense;Palmeiras;1;1;2020-08-12
Ceara;Gremio;1;1;2020-08-12
Sao Paulo;Fortaleza;1;0;2020-08-13
Internacional;Santos;2;0;2020-08-13
Vasco;Sport;2;0;2020-08-13
Gremio;Corinthians;0;0;2020-08-15
Coritiba;Flamengo;0;1;2020-08-15
Palmeiras;Goias;1;1;2020-08-15
Atletico-MG;Ceara;2;0;2020-08-16
Vasco;Sao Paulo;2;1;2020-08-16
Bahia;Bragantino;2;1;2020-08-16
Fluminense;Internacional;2;1;2020-08-16
Atletico-GO;Sport;1;1;2020-08-16
Fortaleza;Botafogo-RJ;0;0;2020-08-16
Santos;Athletico-PR;3;1;2020-08-16
Flamengo;Gremio;1;1;2020-08-19
Bragantino;Fluminense;2;1;2020-08-19
Athletico-PR;Palmeiras;0;1;2020-08-19
Internacional;Atletico-GO;3;0;2020-08-19
Goias;Fortaleza;1;3;2020-08-19
Botafogo-RJ;Atletico-MG;2;1;2020-08-19
Corinthians;Coritiba;3;1;2020-08-19
Sport;Santos;0;1;2020-08-20
Sao Paulo;Bahia;1;1;2020-08-20
Ceara;Vasco;0;3;2020-08-20
Athletico-PR;Fluminense;0;1;2020-08-22
Internacional;Atletico-MG;1;0;2020-08-22
Goias;Atletico-GO;2;0;2020-08-22
Flamengo;Botafogo-RJ;1;1;2020-08-23
Vasco;Gremio;0;0;2020-08-23
Palmeiras;Santos;2;1;2020-08-23
Bragantino;Coritiba;1;2;2020-08-23
Sport;Sao Paulo;0;1;2020-08-23
Ceara;Bahia;2;0;2020-08-23
Corinthians;Fortaleza;1;1;2020-08-26
Botafogo-RJ;Internacional;0;2;2020-08-29
Fluminense;Vasco;2;1;2020-08-29
Bahia;Palmeiras;1;1;2020-08-29
Fortaleza;Bragantino;3;0;2020-08-29
Sao Paulo;Corinthians;2;1;2020-08-30
Santos;Flamengo;0;1;2020-08-30
Coritiba;Sport;1;0;2020-08-30
Atletico-GO;Ceara;0;2;2020-08-30
Atletico-MG;Athletico-PR;0;2;2020-11-18
Gremio;Goias;2;1;2020-11-30
Ceara;Fortaleza;1;0;2020-09-02
Fluminense;Atletico-GO;1;1;2020-09-02
Goias;Corinthians;1;2;2020-09-02
Botafogo-RJ;Coritiba;0;0;2020-09-02
Bahia;Flamengo;3;5;2020-09-02
Athletico-PR;Bragantino;1;1;2020-09-02
Palmeiras;Internacional;1;1;2020-09-02
Santos;Vasco;2;2;2020-09-02
Gremio;Sport;1;2;2020-09-03
Atletico-MG;Sao Paulo;3;0;2020-09-03
Flamengo;Fortaleza;2;1;2020-09-05
Corinthians;Botafogo-RJ;2;2;2020-09-05
Ceara;Santos;0;1;2020-09-05
Bragantino;Palmeiras;1;2;2020-09-06
Sao Paulo;Fluminense;3;1;2020-09-06
Internacional;Bahia;2;2;2020-09-06
Vasco;Athletico-PR;1;0;2020-09-06
Atletico-GO;Gremio;1;1;2020-09-06
Sport;Goias;2;1;2020-09-06
Coritiba;Atletico-MG;0;1;2020-09-06
Athletico-PR;Botafogo-RJ;1;1;2020-09-09
Fortaleza;Sport;1;0;2020-09-09
Goias;Coritiba;3;3;2020-09-09
Sao Paulo;Bragantino;1;1;2020-09-09
Fluminense;Flamengo;1;2;2020-09-09
Santos;Atletico-MG;3;1;2020-09-09
Corinthians;Palmeiras;0;2;2020-09-10
Internacional;Ceara;2;0;2020-09-10
Bahia;Gremio;0;2;2020-09-10
Vasco;Atletico-GO;1;2;2020-09-10
Athletico-PR;Coritiba;1;0;2020-09-12
Santos;Sao Paulo;2;2;2020-09-12
Fluminense;Corinthians;2;1;2020-09-13
Gremio;Fortaleza;1;1;2020-09-13
Atletico-MG;Bragantino;2;1;2020-09-13
Bahia;Atletico-GO;0;1;2020-09-13
Ceara;Flamengo;2;0;2020-09-13
Goias;Internacional;1;0;2020-09-13
Palmeiras;Sport;2;2;2020-09-13
Botafogo-RJ;Vasco;2;3;2020-09-13
Sao Paulo;Athletico-PR;1;0;2020-08-26
Corinthians;Bahia;3;2;2020-09-16
Bragantino;Ceara;4;2;2020-09-19
Fortaleza;Internacional;1;0;2020-09-19
Atletico-GO;Atletico-MG;3;4;2020-09-19
Gremio;Palmeiras;1;1;2020-09-20
Coritiba;Vasco;1;0;2020-09-20
Botafogo-RJ;Santos;0;0;2020-09-20
Sport;Fluminense;1;0;2020-09-20
Flamengo;Goias;2;1;2020-10-13
Sport;Corinthians;1;0;2020-09-23
Internacional;Sao Paulo;1;1;2020-09-26
Athletico-PR;Bahia;1;0;2020-09-26
Atletico-MG;Gremio;3;1;2020-09-26
Vasco;Bragantino;1;1;2020-09-27
Palmeiras;Flamengo;1;1;2020-09-27
Ceara;Goias;2;2;2020-09-27
Atletico-GO;Botafogo-RJ;1;1;2020-09-27
Santos;Fortaleza;1;1;2020-09-27
Fluminense;Coritiba;4;0;2020-09-28
Gremio;Internacional;1;1;2020-10-03
Palmeiras;Ceara;2;1;2020-10-03
Bragantino;Corinthians;0;0;2020-10-03
Botafogo-RJ;Fluminense;1;1;2020-10-04
Flamengo;Athletico-PR;3;1;2020-10-04
Coritiba;Sao Paulo;1;1;2020-10-04
Bahia;Sport;1;2;2020-10-04
Fortaleza;Atletico-GO;0;0;2020-10-04
Goias;Santos;2;3;2020-10-04
Atletico-MG;Vasco;4;1;2020-10-04
Corinthians;Santos;1;1;2020-10-07
Flamengo;Sport;3;0;2020-10-07
Gremio;Coritiba;2;1;2020-10-07
Bahia;Vasco;3;0;2020-10-07
Sao Paulo;Atletico-GO;3;0;2020-10-07
Goias;Fluminense;2;4;2020-10-07
Botafogo-RJ;Palmeiras;2;1;2020-10-07
Fortaleza;Atletico-MG;2;1;2020-10-07
Athletico-PR;Ceara;0;0;2020-10-08
Bragantino;Internacional;0;2;2020-10-08
Vasco;Flamengo;1;2;2020-10-10
Palmeiras;Sao Paulo;0;2;2020-10-10
Coritiba;Fortaleza;0;0;2020-10-10
Atletico-MG;Goias;3;0;2020-10-10
Fluminense;Bahia;1;0;2020-10-11
Santos;Gremio;2;1;2020-10-11
Sport;Botafogo-RJ;1;2;2020-10-11
Atletico-GO;Bragantino;2;1;2020-10-11
Internacional;Athletico-PR;2;1;2020-10-11
Ceara;Corinthians;2;1;2020-10-11
Palmeiras;Coritiba;1;3;2020-10-14
Gremio;Botafogo-RJ;3;1;2020-10-14
Santos;Atletico-GO;0;1;2020-10-14
Atletico-MG;Fluminense;1;1;2020-10-14
Sport;Internacional;3;5;2020-10-14
Athletico-PR;Corinthians;0;1;2020-10-14
Flamengo;Bragantino;1;1;2020-10-15
Goias;Bahia;1;1;2020-10-16
Vasco;Fortaleza;0;0;2020-11-19
Ceara;Sao Paulo;1;1;2020-11-25
Fluminense;Ceara;2;2;2020-10-17
Coritiba;Santos;1;2;2020-10-17
Atletico-GO;Athletico-PR;1;1;2020-10-17
Sao Paulo;Gremio;0;0;2020-10-17
Corinthians;Flamengo;1;5;2020-10-18
Internacional;Vasco;2;0;2020-10-18
Bragantino;Sport;2;0;2020-10-18
Fortaleza;Palmeiras;2;0;2020-10-18
Botafogo-RJ;Goias;0;0;2020-10-19
Bahia;Atletico-MG;3;1;2020-10-19
Vasco;Corinthians;1;2;2020-10-21
Bragantino;Goias;2;0;2020-10-24
Ceara;Coritiba;2;1;2020-10-24
Atletico-MG;Sport;0;0;2020-10-24
Fluminense;Santos;3;1;2020-10-25
Atletico-GO;Palmeiras;0;3;2020-10-25
Internacional;Flamengo;2;2;2020-10-25
Athletico-PR;Gremio;1;2;2020-10-25
Bahia;Fortaleza;2;1;2020-11-11
Sao Paulo;Botafogo-RJ;4;0;2020-12-09
Botafogo-RJ;Ceara;2;2;2020-10-31
Corinthians;Internacional;1;0;2020-10-31
Coritiba;Atletico-GO;1;0;2020-10-31
Fortaleza;Fluminense;0;1;2020-10-31
Flamengo;Sao Paulo;1;4;2020-11-01
Sport;Athletico-PR;1;0;2020-11-01
Santos;Bahia;3;1;2020-11-01
Goias;Vasco;1;1;2020-11-01
Palmeiras;Atletico-MG;3;0;2020-11-02
Gremio;Bragantino;2;1;2020-11-02
Athletico-PR;Fortaleza;2;1;2020-11-07
Sao Paulo;Goias;2;1;2020-11-07
Atletico-GO;Corinthians;1;1;2020-11-07
Vasco;Palmeiras;0;1;2020-11-08
Internacional;Coritiba;2;2;2020-11-08
Bragantino;Santos;1;1;2020-11-08
Atletico-MG;Flamengo;4;0;2020-11-08
Bahia;Botafogo-RJ;1;0;2020-11-08
Fluminense;Gremio;0;1;2020-11-08
Ceara;Sport;0;0;2020-11-08
Santos;Internacional;2;0;2020-11-14
Sport;Vasco;0;2;2020-11-14
Goias;Athletico-PR;0;1;2020-11-14
Corinthians;Atletico-MG;1;2;2020-11-14
Gremio;Ceara;4;2;2020-11-14
Fortaleza;Sao Paulo;2;3;2020-11-14
Flamengo;Atletico-GO;1;1;2020-11-14
Palmeiras;Fluminense;2;0;2020-11-14
Coritiba;Bahia;1;2;2020-11-16
Botafogo-RJ;Bragantino;1;2;2020-11-16
Bragantino;Bahia;4;0;2020-11-20
Flamengo;Coritiba;3;1;2020-11-21
Athletico-PR;Santos;1;0;2020-11-21
Goias;Palmeiras;1;0;2020-11-21
Sao Paulo;Vasco;1;1;2020-11-22
Ceara;Atletico-MG;2;2;2020-11-22
Botafogo-RJ;Fortaleza;1;2;2020-11-22
Internacional;Fluminense;1;2;2020-11-22
Corinthians;Gremio;0;0;2020-11-22
Sport;Atletico-GO;0;1;2020-11-23
Atletico-MG;Botafogo-RJ;2;1;2020-11-25
Coritiba;Corinthians;0;1;2020-11-25
Fortaleza;Goias;1;1;2020-11-26
Palmeiras;Athletico-PR;3;0;2020-11-28
Santos;Sport;4;2;2020-11-28
Bahia;Sao Paulo;1;3;2020-11-28
Atletico-GO;Internacional;0;0;2020-11-28
Vasco;Ceara;1;4;2020-11-30
Fluminense;Bragantino;0;0;2020-11-30
Gremio;Flamengo;2;4;2021-01-28
Fortaleza;Corinthians;0;0;2020-12-02
Botafogo-RJ;Flamengo;0;1;2020-12-05
Santos;Palmeiras;2;2;2020-12-05
Fluminense;Athletico-PR;3;1;2020-12-05
Bahia;Ceara;0;2;2020-12-05
Coritiba;Bragantino;0;0;2020-12-05
Sao Paulo;Sport;1;0;2020-12-06
Gremio;Vasco;4;0;2020-12-06
Atletico-MG;Internacional;2;2;2020-12-06
Atletico-GO;Goias;0;1;2020-12-07
Bragantino;Fortaleza;2;1;2020-12-12
Athletico-PR;Atletico-MG;0;1;2020-12-12
Palmeiras;Bahia;3;0;2020-12-12
Internacional;Botafogo-RJ;2;1;2020-12-12
Ceara;Atletico-GO;1;2;2020-12-12
Goias;Gremio;0;0;2020-12-12
Flamengo;Santos;4;1;2020-12-13
Corinthians;Sao Paulo;1;0;2020-12-13
Sport;Coritiba;1;0;2020-12-13
Vasco;Fluminense;1;1;2020-12-13
Sao Paulo;Atletico-MG;3;0;2020-12-16
Atletico-GO;Fluminense;2;1;2020-12-16
Sport;Gremio;1;1;2020-12-19
Internacional;Palmeiras;2;0;2020-12-19
Coritiba;Botafogo-RJ;1;2;2020-12-19
Vasco;Santos;1;0;2020-12-20
Bragantino;Athletico-PR;0;1;2020-12-20
Flamengo;Bahia;4;3;2020-12-20
Fortaleza;Ceara;0;2;2020-12-20
Corinthians;Goias;2;1;2020-12-21
Atletico-MG;Coritiba;2;0;2020-12-26
Fortaleza;Flamengo;0;0;2020-12-26
Goias;Sport;1;0;2020-12-26
Fluminense;Sao Paulo;1;2;2020-12-26
Botafogo-RJ;Corinthians;0;2;2020-12-27
Bahia;Internacional;1;2;2020-12-27
Palmeiras;Bragantino;1;0;2020-12-27
Santos;Ceara;1;1;2020-12-27
Athletico-PR;Vasco;3;0;2020-12-27
Gremio;Atletico-GO;2;1;2020-12-27
Botafogo-RJ;Athletico-PR;0;2;2021-01-06
Gremio;Bahia;2;1;2021-01-06
Sport;Fortaleza;1;0;2021-01-06
Coritiba;Goias;1;2;2021-01-06
Flamengo;Fluminense;1;2;2021-01-06
Bragantino;Sao Paulo;4;2;2021-01-06
Ceara;Internacional;0;2;2021-01-07
Atletico-GO;Vasco;0;0;2021-01-07
Palmeiras;Corinthians;4;0;2021-01-18
Atletico-MG;Santos;2;0;2021-01-26
Sport;Palmeiras;0;1;2021-01-09
Coritiba;Athletico-PR;0;0;2021-01-09
Fortaleza;Gremio;0;0;2021-01-09
Flamengo;Ceara;0;2;2021-01-10
Sao Paulo;Santos;0;1;2021-01-10
Internacional;Goias;1;0;2021-01-10
Atletico-GO;Bahia;1;1;2021-01-10
Vasco;Botafogo-RJ;3;0;2021-01-10
Bragantino;Atletico-MG;2;2;2021-01-11
Corinthians;Fluminense;5;0;2021-01-13
Palmeiras;Gremio;1;1;2021-01-15
Fluminense;Sport;1;0;2021-01-16
Vasco;Coritiba;0;1;2021-01-16
Santos;Botafogo-RJ;2;1;2021-01-17
Athletico-PR;Sao Paulo;1;1;2021-01-17
Atletico-MG;Atletico-GO;3;1;2021-01-17
Internacional;Fortaleza;4;2;2021-01-17
Ceara;Bragantino;1;2;2021-01-17
Goias;Flamengo;0;3;2021-01-18
Bahia;Corinthians;2;1;2021-01-28
Botafogo-RJ;Atletico-GO;1;3;2021-01-20
Bahia;Athletico-PR;1;0;2021-01-20
Gremio;Atletico-MG;1;1;2021-01-20
Coritiba;Fluminense;3;3;2021-01-20
Sao Paulo;Internacional;1;5;2021-01-20
Bragantino;Vasco;4;1;2021-01-20
Flamengo;Palmeiras;2;0;2021-01-21
Fortaleza;Santos;2;0;2021-01-21
Goias;Ceara;0;4;2021-01-21
Corinthians;Sport;3;0;2021-01-21
Sao Paulo;Coritiba;1;1;2021-01-23
Vasco;Atletico-MG;3;2;2021-01-23
Internacional;Gremio;2;1;2021-01-24
Athletico-PR;Flamengo;2;1;2021-01-24
Ceara;Palmeiras;2;1;2021-01-24
Santos;Goias;3;4;2021-01-24
Sport;Bahia;2;0;2021-01-24
Atletico-GO;Fortaleza;2;0;2021-01-24
Fluminense;Botafogo-RJ;2;0;2021-01-24
Corinthians;Bragantino;0;2;2021-01-25
Vasco;Bahia;0;0;2021-01-31
Coritiba;Gremio;1;1;2021-01-31
Ceara;Athletico-PR;0;2;2021-01-31
Atletico-GO;Sao Paulo;2;1;2021-01-31
Atletico-MG;Fortaleza;2;0;2021-01-31
Internacional;Bragantino;2;1;2021-01-31
Fluminense;Goias;3;0;2021-01-31
Sport;Flamengo;0;3;2021-02-01
Palmeiras;Botafogo-RJ;1;1;2021-02-02
Santos;Corinthians;1;0;2021-02-17
Gremio;Santos;3;3;2021-02-03
Bragantino;Atletico-GO;2;0;2021-02-03
Corinthians;Ceara;2;1;2021-02-03
Bahia;Fluminense;0;1;2021-02-03
Goias;Atletico-MG;1;0;2021-02-03
Fortaleza;Coritiba;3;1;2021-02-04
Flamengo;Vasco;2;0;2021-02-04
Athletico-PR;Internacional;0;0;2021-02-04
Botafogo-RJ;Sport;0;1;2021-02-05
Sao Paulo;Palmeiras;1;1;2021-02-19
Bahia;Goias;3;3;2021-02-06
Atletico-GO;Santos;1;1;2021-02-06
Bragantino;Flamengo;1;1;2021-02-07
Botafogo-RJ;Gremio;2;5;2021-02-08
Internacional;Sport;1;2;2021-02-10
Fortaleza;Vasco;3;0;2021-02-10
Sao Paulo;Ceara;1;1;2021-02-10
Fluminense;Atletico-MG;0;0;2021-02-10
Corinthians;Athletico-PR;3;3;2021-02-10
Coritiba;Palmeiras;1;0;2021-02-17
Goias;Botafogo-RJ;2;0;2021-02-13
Santos;Coritiba;2;0;2021-02-13
Atletico-MG;Bahia;1;1;2021-02-13
Flamengo;Corinthians;2;1;2021-02-14
Vasco;Internacional;0;2;2021-02-14
Palmeiras;Fortaleza;3;0;2021-02-14
Athletico-PR;Atletico-GO;2;1;2021-02-14
Gremio;Sao Paulo;1;2;2021-02-14
Ceara;Fluminense;1;3;2021-02-15
Sport;Bragantino;0;0;2021-02-15
Coritiba;Ceara;0;2;2021-02-20
Fortaleza;Bahia;0;4;2021-02-20
Flamengo;Internacional;2;1;2021-02-21
Corinthians;Vasco;0;0;2021-02-21
Sport;Atletico-MG;2;3;2021-02-21
Santos;Fluminense;1;1;2021-02-21
Gremio;Athletico-PR;1;0;2021-02-21
Goias;Bragantino;0;0;2021-02-21
Palmeiras;Atletico-GO;1;1;2021-02-22
Botafogo-RJ;Sao Paulo;1;0;2021-02-22
Fluminense;Fortaleza;2;0;2021-02-25
Vasco;Goias;3;2;2021-02-25
Sao Paulo;Flamengo;2;1;2021-02-25
Bragantino;Gremio;1;0;2021-02-25
Atletico-MG;Palmeiras;2;0;2021-02-25
Internacional;Corinthians;0;0;2021-02-25
Bahia;Santos;2;0;2021-02-25
Athletico-PR;Sport;2;0;2021-02-25
Ceara;Botafogo-RJ;2;1;2021-02-25
Atletico-GO;Coritiba;3;1;2021-02-25
